Energy (eV),Shell,Element Number,Element Name
1.87172,LB1,38,Sr
1.91020,Ma1,76,Os
1.92047,La2,39,Y
1.92256,La1,39,Y
1.97990,Ma1,77,Ir
1.99584,LB1,39,Y
2.01270,Ka2,15,P
2.01370,Ka1,15,P
2.03990,La2,40,Zr
2.04236,La1,40,Zr
2.05050,Ma1,78,Pt
2.12290,Ma1,79,Au
2.12440,LB1,40,Zr
2.13910,KB1,15,P
2.16300,La2,41,Nb
2.16589,La1,41,Nb
2.19530,Ma1,80,Hg
2.21940,LB2,40,Zr
2.25740,LB1,41,Nb
2.27060,Ma1,81,Tl
2.28985,La2,42,Mo
2.29316,La1,42,Mo
2.30270,Ly1,40,Zr
2.30664,Ka2,16,S
2.30784,Ka1,16,S
2.34550,Ma1,82,Pb
2.36700,LB2,41,Nb
2.39481,LB1,42,Mo
2.42000,La2,43,Tc
2.42260,Ma1,83,Bi
2.42400,La1,43,Tc
2.46180,Ly1,41,Nb
2.46404,KB1,16,S
2.51830,LB2,42,Mo
2.53800,LB1,43,Tc
2.55431,La2,44,Ru
2.55855,La1,44,Ru
2.62078,Ka2,17,Cl
2.62239,Ka1,17,Cl
2.62350,Ly1,42,Mo
2.67400,LB2,43,Tc
2.68323,LB1,44,Ru
2.69205,La2,45,Rh
2.69674,La1,45,Rh
2.79200,Ly1,43,Tc
2.81560,KB1,17,Cl
2.83329,La2,46,Pd
2.83441,LB1,45,Rh
2.83600,LB2,44,Ru
2.83861,La1,46,Pd
2.95563,Ka2,18,Ar
2.95770,Ka1,18,Ar
2.96450,Ly1,44,Ru
2.97821,La2,47,Ag
2.98431,La1,47,Ag
2.99022,LB1,46,Pd
2.99610,Ma1,90,Th
3.00130,LB2,45,Rh
3.08230,Ma1,91,Pa
3.12691,La2,48,Cd
3.13373,La1,48,Cd
3.14380,Ly1,45,Rh
3.15094,LB1,47,Ag
3.17080,Ma1,92,U
3.17179,LB2,46,Pd
3.19050,KB1,18,Ar
3.27929,La2,49,In
3.28694,La1,49,In
3.31110,Ka2,19,K
3.31380,Ka1,19,K
3.31657,LB1,48,Cd
3.32870,Ly1,46,Pd
3.34781,LB2,47,Ag
3.43542,La2,50,Sn
3.44398,La1,50,Sn
3.48721,LB1,49,In
3.51959,Ly1,47,Ag
3.52812,LB2,48,Cd
3.58960,KB1,19,K
3.59532,La2,51,Sb
3.60472,La1,51,Sb
3.66280,LB1,50,Sn
3.68809,Ka2,20,Ca
3.69168,Ka1,20,Ca
3.71381,LB2,49,In
3.71686,Ly1,48,Cd
3.75880,La2,52,Te
3.76933,La1,52,Te
3.84357,LB1,51,Sb
3.90486,LB2,50,Sn
3.92081,Ly1,49,In
3.92604,La2,53,I
3.93765,La1,53,I
4.01270,KB1,20,Ca
4.02958,LB1,52,Te
4.08610,Ka2,21,Sc
4.09060,Ka1,21,Sc
4.10078,LB2,51,Sb
4.10990,La1,54,Xe
4.13112,Ly1,50,Sn
4.22072,LB1,53,I
4.27220,La2,55,Cs
4.28650,La1,55,Cs
4.30170,LB2,52,Te
4.34779,Ly1,51,Sb
4.45090,La2,56,Ba
4.46050,KB1,21,Sc
4.46626,La1,56,Ba
4.50486,Ka2,22,Ti
4.50750,LB2,53,I
4.51084,Ka1,22,Ti
4.57090,Ly1,52,Te
4.61980,LB1,55,Cs
4.63423,La2,57,La
4.65097,La1,57,La
4.80090,Ly1,53,I
4.82300,La2,58,Ce
4.82753,LB1,56,Ba
4.84020,La1,58,Ce
4.93181,KB1,22,Ti
4.93590,LB2,55,Cs
4.94464,Ka2,23,V
4.95220,Ka1,23,V
5.01350,La2,59,Pr
5.03370,La1,59,Pr
5.04210,LB1,57,La
5.15650,LB2,56,Ba
5.20770,La2,60,Nd
5.23040,La1,60,Nd
5.26220,LB1,58,Ce
5.28040,Ly1,55,Cs
5.38350,LB2,57,La
5.40551,Ka2,24,Cr
5.40780,La2,61,Pm
5.41472,Ka1,24,Cr
5.42729,KB1,23,V
5.43250,La1,61,Pm
5.48890,LB1,59,Pr
5.53110,Ly1,56,Ba
5.60900,La2,62,Sm
5.61340,LB2,58,Ce
5.63610,La1,62,Sm
5.72160,LB1,60,Nd
5.78850,Ly1,57,La
5.81660,La2,63,Eu
5.84570,La1,63,Eu
5.85000,LB2,59,Pr
5.88765,Ka2,25,Mn
5.89875,Ka1,25,Mn
5.94671,KB1,24,Cr
5.96100,LB1,61,Pm
6.02500,La2,64,Gd
6.05200,Ly1,58,Ce
6.05720,La1,64,Gd
6.08940,LB2,60,Nd
6.20510,LB1,62,Sm
6.23800,La2,65,Tb
6.27280,La1,65,Tb
6.32210,Ly1,59,Pr
6.33900,LB2,61,Pm
6.39084,Ka2,26,Fe
6.40384,Ka1,26,Fe
6.45640,LB1,63,Eu
6.45770,La2,66,Dy
6.49045,KB1,25,Mn
6.49520,La1,66,Dy
6.58600,LB2,62,Sm
6.60210,Ly1,60,Nd
6.67950,La2,67,Ho
6.71320,LB1,64,Gd
6.71980,La1,67,Ho
6.84320,LB2,63,Eu
6.89200,Ly1,61,Pm
6.90500,La2,68,Er
6.91530,Ka2,27,Co
6.93032,Ka1,27,Co
6.94870,La1,68,Er
6.97800,LB1,65,Tb
7.05798,KB1,26,Fe
7.10280,LB2,64,Gd
7.13310,La2,69,Tm
7.17800,Ly1,62,Sm
7.17990,La1,69,Tm
7.24770,LB1,66,Dy
7.36670,LB2,65,Tb
7.36730,La2,70,Yb
7.41560,La1,70,Yb
7.46089,Ka2,28,Ni
7.47815,Ka1,28,Ni
7.48030,Ly1,63,Eu
7.52530,LB1,67,Ho
7.60490,La2,71,Lu
7.63570,LB2,66,Dy
7.64943,KB1,27,Co
7.65550,La1,71,Lu
7.78580,Ly1,64,Gd
7.81090,LB1,68,Er
7.84460,La2,72,Hf
7.89900,La1,72,Hf
7.91100,LB2,67,Ho
8.02783,Ka2,29,Cu
8.04778,Ka1,29,Cu
8.08790,La2,73,Ta
8.10100,LB1,69,Tm
